Year,GDP per capita
1960,3417.352016
1961,3660.391745
1962,3740.433231
1963,3664.978064
1964,3685.492846
1965,3692.845656
1966,3741.855767
1967,3821.461019
1968,4147.381727
1969,4435.379364
1970,4704.317561
1971,5108.402967
1972,5587.885976
1973,6219.514016
1974,6623.415825
1975,6805.298034
1976,7296.347152
1977,7453.590172
1978,7514.288937
1979,7835.070247
1980,8349.487613
1981,7796.854344
1982,7660.578088
1983,7230.716332
1984,7442.972355
1985,7862.703345
1986,8316.516628
1987,8445.711772
1988,8276.326752
1989,8389.978665
1990,7983.746669
1991,7963.112019
1992,7791.757324
1993,8020.606165
1994,8311.560836
1995,8540.077247
1996,8591.015022
1997,8744.846032
1998,8641.275157
1999,8554.072826
2000,8803.15258
2001,8804.329637
2002,8954.837096
2003,8943.828581
2004,9346.039445
2005,9535.418574
2006,9805.724662
2007,10293.53023
2008,10710.87222
2009,10594.98676
2010,11286.2429
2011,11627.81024
2012,11745.77616
2013,11993.48393
2014,11951.20892
2015,11431.15504
2016,10965.97437
2017,11021.71858
2018,11130.71897
2019,11203.27495
2020,10672.17774
