Date,DEXCHUS,Reverse,,Yuan Index Calc,Yuan Index,DEXBZUS,Reverse,,Real Index Calc,Real Index,DEXJPUS,Reverse,,Yen Index Calc,Yen Index,DEXUSUK,Pound Index Calc,Pound Index,DEXUSEU,Euro Index Calc,Euro Index,Olympic Index,,,,
02/10/2000,8.2790,0.1208,0.1208,100,100,1.847,0.541418517,0.541418517,100,100,108.81,0.009190332,0.009190332,100,100,1.4675,100,100,0.8806,100,100,100,,,,
03/10/2000,8.2790,0.1208,0.1208,100,100,1.848,0.541125541,0.541125541,99.94588745,99.94588745,108.66,0.009203019,0.009203019,100.1380453,100.1380453,1.4565,99.25042589,99.25042589,0.8741,99.26186691,99.26186691,99.26186691,,,,
04/10/2000,8.2790,0.1208,0.1208,100,100,1.852,0.539956803,0.539956803,99.7300216,99.7300216,109.29,0.009149968,0.009149968,99.56080154,99.56080154,1.4558,99.20272572,99.20272572,0.8726,99.0915285,99.0915285,99.0915285,,,,
05/10/2000,8.2790,0.1208,0.1208,100,100,1.852,0.539956803,0.539956803,99.7300216,99.7300216,109.3,0.009149131,0.009149131,99.55169259,99.55169259,1.4502,98.82112436,98.82112436,0.8685,98.62593686,98.62593686,98.62593686,,,,
06/10/2000,8.2790,0.1208,0.1208,100,100,1.855,0.539083558,0.539083558,99.56873315,99.56873315,108.81,0.009190332,0.009190332,100,100,1.4445,98.43270869,98.43270869,0.868,98.56915739,98.56915739,98.56915739,,,,
09/10/2000,,#DIV/0!,,#DIV/0!,,.,#VALUE!,,#VALUE!,,.,#VALUE!,,#VALUE!,,.,#VALUE!,,.,#VALUE!,,,,,,
10/10/2000,8.2789,0.1208,0.1208,100.0012079,100.0012079,1.855,0.539083558,0.539083558,99.56873315,99.56873315,107.9,0.009267841,0.009267841,100.8433735,100.8433735,1.4484,98.69846678,98.69846678,0.8682,98.59186918,98.59186918,98.59186918,,,,
11/10/2000,8.2786,0.1208,0.1208,100.0048317,100.0048317,1.86,0.537634409,0.537634409,99.30107527,99.30107527,107.63,0.00929109,0.00929109,101.0963486,101.0963486,1.462,99.62521295,99.62521295,0.8715,98.96661367,98.96661367,98.96661367,,,,
12/10/2000,8.2786,0.1208,0.1208,100.0048317,100.0048317,1.862,0.537056928,0.537056928,99.19441461,99.19441461,107.58,0.009295408,0.009295408,101.1433352,101.1433352,1.4735,100.4088586,100.4088586,0.8644,98.16034522,98.16034522,98.16034522,,,,
13/10/2000,8.2784,0.1208,0.1208,100.0072478,100.0072478,1.877,0.532765051,0.532765051,98.40170485,98.40170485,107.67,0.009287638,0.009287638,101.0587907,101.0587907,1.4597,99.46848382,99.46848382,0.8568,97.2972973,97.2972973,97.2972973,,,,
16/10/2000,8.2781,0.1208,0.1208,100.0108721,100.0108721,1.871,0.534473544,0.534473544,98.7172635,98.7172635,108.3,0.00923361,0.00923361,100.4709141,100.4709141,1.4455,98.50085179,98.50085179,0.8489,96.40018169,96.40018169,96.40018169,,,,
17/10/2000,8.2784,0.1208,0.1208,100.0072478,100.0072478,1.8735,0.533760342,0.533760342,98.58553509,98.58553509,108.15,0.009246417,0.009246417,100.6102635,100.6102635,1.4426,98.3032368,98.3032368,0.8507,96.60458778,96.60458778,96.60458778,,,,
18/10/2000,8.2781,0.1208,0.1208,100.0108721,100.0108721,1.876,0.533049041,0.533049041,98.45415778,98.45415778,107.78,0.009278159,0.009278159,100.9556504,100.9556504,1.4464,98.56218058,98.56218058,0.8391,95.28730411,95.28730411,95.28730411,,,,
19/10/2000,8.2780,0.1208,0.1208,100.0120802,100.0120802,1.875,0.533333333,0.533333333,98.50666667,98.50666667,108.55,0.009212345,0.009212345,100.239521,100.239521,1.4422,98.27597956,98.27597956,0.8406,95.45764252,95.45764252,95.45764252,,,,
20/10/2000,8.2778,0.1208,0.1208,100.0144966,100.0144966,1.882,0.531349628,0.531349628,98.1402763,98.1402763,109.04,0.009170946,0.009170946,99.78906823,99.78906823,1.4448,98.45315162,98.45315162,0.84,95.38950715,95.38950715,95.38950715,,,,
