Date,Index,Value
02/10/2000,Euro,100
03/10/2000,Euro,99.26186691
04/10/2000,Euro,99.0915285
05/10/2000,Euro,98.62593686
06/10/2000,Euro,98.56915739
10/10/2000,Euro,98.59186918
11/10/2000,Euro,98.96661367
12/10/2000,Euro,98.16034522
13/10/2000,Euro,97.2972973
16/10/2000,Euro,96.40018169
17/10/2000,Euro,96.60458778
18/10/2000,Euro,95.28730411
19/10/2000,Euro,95.45764252
20/10/2000,Euro,95.38950715
23/10/2000,Euro,94.98069498
24/10/2000,Euro,94.98069498
25/10/2000,Euro,93.91324097
26/10/2000,Euro,93.92459687
27/10/2000,Euro,95.45764252
30/10/2000,Euro,95.75289575
31/10/2000,Euro,96.36611401
01/11/2000,Euro,97.4789916
02/11/2000,Euro,97.59255053
03/11/2000,Euro,97.81966841
06/11/2000,Euro,97.4789916
07/11/2000,Euro,97.4676357
08/11/2000,Euro,97.19509425
09/11/2000,Euro,97.36543266
10/11/2000,Euro,97.94458324
13/11/2000,Euro,97.74017715
14/11/2000,Euro,97.35407677
15/11/2000,Euro,97.32000908
16/11/2000,Euro,96.88848512
17/11/2000,Euro,96.70679082
20/11/2000,Euro,96.36611401
21/11/2000,Euro,96.04814899
22/11/2000,Euro,95.65069271
24/11/2000,Euro,95.18510107
27/11/2000,Euro,96.52509653
28/11/2000,Euro,97.05882353
29/11/2000,Euro,97.39950034
30/11/2000,Euro,98.7281399
01/12/2000,Euro,99.53440836
04/12/2000,Euro,100.7835567
05/12/2000,Euro,99.97728821
06/12/2000,Euro,100.8062685
07/12/2000,Euro,100.965251
08/12/2000,Euro,100.3633886
11/12/2000,Euro,99.60254372
12/12/2000,Euro,99.6479673
13/12/2000,Euro,99.42084942
14/12/2000,Euro,100.5905065
15/12/2000,Euro,101.9872814
18/12/2000,Euro,101.3967749
19/12/2000,Euro,101.0901658
20/12/2000,Euro,102.8616852
21/12/2000,Euro,103.4749035
22/12/2000,Euro,104.8148989
26/12/2000,Euro,105.5189643
27/12/2000,Euro,105.6552351
28/12/2000,Euro,105.1215081
29/12/2000,Euro,106.6091301
02/01/2001,Euro,107.483534
03/01/2001,Euro,107.5743811
04/01/2001,Euro,107.2904838
05/01/2001,Euro,108.2784465
08/01/2001,Euro,107.7220077
09/01/2001,Euro,106.7113332
10/01/2001,Euro,106.5977742
11/01/2001,Euro,108.1081081
12/01/2001,Euro,107.7220077
16/01/2001,Euro,106.4501476
17/01/2001,Euro,105.6779469
18/01/2001,Euro,107.267772
19/01/2001,Euro,106.3252328
22/01/2001,Euro,106.4501476
23/01/2001,Euro,106.620486
24/01/2001,Euro,105.132864
25/01/2001,Euro,104.6899841
26/01/2001,Euro,104.6218487
29/01/2001,Euro,104.2584601
30/01/2001,Euro,105.2009993
31/01/2001,Euro,105.7006586
01/02/2001,Euro,106.5637066
02/02/2001,Euro,106.2570974
05/02/2001,Euro,106.6886214
06/02/2001,Euro,105.6552351
07/02/2001,Euro,105.9618442
08/02/2001,Euro,104.2925278
09/02/2001,Euro,105.235067
12/02/2001,Euro,105.4621849
13/02/2001,Euro,104.5196457
14/02/2001,Euro,104.4401544
15/02/2001,Euro,102.8503293
16/02/2001,Euro,104.0426982
20/02/2001,Euro,103.2932092
21/02/2001,Euro,103.0774472
22/02/2001,Euro,102.9866
23/02/2001,Euro,103.2818533
26/02/2001,Euro,103.2591415
27/02/2001,Euro,103.6565978
28/02/2001,Euro,104.6104928
01/03/2001,Euro,105.5076084
02/03/2001,Euro,106.0640472
05/03/2001,Euro,105.4848967
06/03/2001,Euro,105.7574381
07/03/2001,Euro,105.3145583
08/03/2001,Euro,105.3940495
09/03/2001,Euro,105.7801499
12/03/2001,Euro,105.6098115
13/03/2001,Euro,103.8837156
14/03/2001,Euro,103.7133772
15/03/2001,Euro,102.7254145
16/03/2001,Euro,101.3967749
19/03/2001,Euro,102.032705
20/03/2001,Euro,102.8162616
21/03/2001,Euro,101.8623666
22/03/2001,Euro,100.851692
23/03/2001,Euro,101.3627072
26/03/2001,Euro,101.6920282
27/03/2001,Euro,101.1810129
28/03/2001,Euro,100.8630479
29/03/2001,Euro,100.0113559
30/03/2001,Euro,99.86372928
02/04/2001,Euro,100.2044061
03/04/2001,Euro,101.4081308
04/04/2001,Euro,102.35067
05/04/2001,Euro,101.9305019
06/04/2001,Euro,102.2257552
09/04/2001,Euro,102.3620259
10/04/2001,Euro,100.8857597
11/04/2001,Euro,100.5677947
12/04/2001,Euro,101.3172837
13/04/2001,Euro,100.9311833
16/04/2001,Euro,100.63593
17/04/2001,Euro,100.0908471
18/04/2001,Euro,100.1135589
19/04/2001,Euro,101.1696571
20/04/2001,Euro,102.566432
23/04/2001,Euro,101.7488076
24/04/2001,Euro,101.5898251
25/04/2001,Euro,101.8850784
26/04/2001,Euro,102.3279582
27/04/2001,Euro,101.3399955
30/04/2001,Euro,100.7722008
01/05/2001,Euro,101.4876221
02/05/2001,Euro,101.3513514
03/05/2001,Euro,100.965251
04/05/2001,Euro,101.4535544
07/05/2001,Euro,101.2491483
08/05/2001,Euro,100.4769475
09/05/2001,Euro,100.4428799
10/05/2001,Euro,99.84101749
11/05/2001,Euro,99.466273
14/05/2001,Euro,99.34135816
15/05/2001,Euro,99.79559391
16/05/2001,Euro,100.4088122
17/05/2001,Euro,100.2498297
18/05/2001,Euro,99.6366114
21/05/2001,Euro,99.50034068
22/05/2001,Euro,98.30797184
23/05/2001,Euro,97.63797411
24/05/2001,Euro,97.32000908
25/05/2001,Euro,97.39950034
29/05/2001,Euro,97.05882353
30/05/2001,Euro,97.38814445
31/05/2001,Euro,96.01408131
01/06/2001,Euro,95.98001363
04/06/2001,Euro,95.94594595
05/06/2001,Euro,96.5705201
06/06/2001,Euro,95.98001363
07/06/2001,Euro,96.59323189
08/06/2001,Euro,96.58187599
11/06/2001,Euro,95.6734045
12/06/2001,Euro,96.28662276
13/06/2001,Euro,96.9339087
14/06/2001,Euro,97.63797411
15/06/2001,Euro,97.97865092
18/06/2001,Euro,97.77424483
19/06/2001,Euro,97.18373836
20/06/2001,Euro,96.59323189
21/06/2001,Euro,97.02475585
22/06/2001,Euro,97.32000908
25/06/2001,Euro,97.78560073
26/06/2001,Euro,97.92187145
27/06/2001,Euro,97.89915966
28/06/2001,Euro,96.18441971
29/06/2001,Euro,96.22984329
02/07/2001,Euro,96.01408131
03/07/2001,Euro,96.26391097
05/07/2001,Euro,95.04883034
06/07/2001,Euro,96.12764025
09/07/2001,Euro,96.22984329
10/07/2001,Euro,97.17238247
11/07/2001,Euro,97.81966841
12/07/2001,Euro,96.86577334
13/07/2001,Euro,96.83170566
16/07/2001,Euro,97.08153532
17/07/2001,Euro,97.08153532
18/07/2001,Euro,98.80763116
19/07/2001,Euro,98.68271633
20/07/2001,Euro,98.94390189
23/07/2001,Euro,98.52373382
24/07/2001,Euro,99.38678174
25/07/2001,Euro,99.89779696
26/07/2001,Euro,99.53440836
27/07/2001,Euro,99.35271406
30/07/2001,Euro,99.36406995
31/07/2001,Euro,99.38678174
01/08/2001,Euro,99.85237338
02/08/2001,Euro,100.0794913
03/08/2001,Euro,100.4201681
06/08/2001,Euro,99.95457643
07/08/2001,Euro,99.6479673
08/08/2001,Euro,99.68203498
09/08/2001,Euro,100.9084715
10/08/2001,Euro,101.5216898
13/08/2001,Euro,102.0099932
14/08/2001,Euro,102.4869407
15/08/2001,Euro,103.4976153
16/08/2001,Euro,103.7701567
17/08/2001,Euro,104.0767658
20/08/2001,Euro,103.6452419
21/08/2001,Euro,103.5089712
