Date,Index,Value
Oct-2000,Euro,100
Nov-2000,Euro,97.4789916
Dec-2000,Euro,99.53440836
Jan-2001,Euro,107.483534
Feb-2001,Euro,106.5637066
Mar-2001,Euro,105.5076084
Apr-2001,Euro,100.2044061
May-2001,Euro,101.4876221
Jun-2001,Euro,95.98001363
Jul-2001,Euro,96.01408131
Aug-2001,Euro,99.85237338
Sep-2001,Euro,100.7040654
Oct-2001,Euro,104.0086305
Nov-2001,Euro,102.7027027
Dec-2001,Euro,101.0333863
Jan-2002,Euro,102.5550761
Feb-2002,Euro,97.80831251
Mar-2002,Euro,98.25119237
Apr-2002,Euro,100
May-2002,Euro,102.9071088
Jun-2002,Euro,106.6318419
Jul-2002,Euro,112.3438565
Aug-2002,Euro,111.7760618
Sep-2002,Euro,113.0933454
Oct-2002,Euro,111.9577561
Nov-2002,Euro,113.2296162
Dec-2002,Euro,112.7299568
Jan-2003,Euro,117.6584147
Feb-2003,Euro,122.2007722
Mar-2003,Euro,123.0411083
Apr-2003,Euro,123.824665
May-2003,Euro,127.6175335
Jun-2003,Euro,133.3636157
Jul-2003,Euro,131.5012491
Aug-2003,Euro,127.776516
Sep-2003,Euro,123.4612764
Oct-2003,Euro,132.9548035
Nov-2003,Euro,130.0704065
Dec-2003,Euro,135.7710652
Jan-2004,Euro,142.9934136
Feb-2004,Euro,141.1083352
Mar-2004,Euro,141.1651147
Apr-2004,Euro,140.3361345
May-2004,Euro,135.5553032
Jun-2004,Euro,138.6554622
Jul-2004,Euro,138.0649557
Aug-2004,Euro,136.6568249
Sep-2004,Euro,138.3034295
Oct-2004,Euro,140.813082
Nov-2004,Euro,144.6854417
Dec-2004,Euro,151.1242335
Jan-2005,Euro,153.0320236
Feb-2005,Euro,147.8196684
Mar-2005,Euro,149.7728821
Apr-2005,Euro,146.4456053
May-2005,Euro,146.0027254
Jun-2005,Euro,138.9052918
Jul-2005,Euro,135.7824211
Aug-2005,Euro,138.4851238
Sep-2005,Euro,141.346809
Oct-2005,Euro,135.2941176
Nov-2005,Euro,136.2480127
Dec-2005,Euro,132.8866682
Jan-2006,Euro,136.0436066
Feb-2006,Euro,137.3154667
Mar-2006,Euro,135.1237792
Apr-2006,Euro,137.6788553
May-2006,Euro,143.163752
Jun-2006,Euro,145.6279809
Jul-2006,Euro,145.2759482
Aug-2006,Euro,145.1056098
Sep-2006,Euro,145.730184
Oct-2006,Euro,144.7195094
Nov-2006,Euro,145.0261186
Dec-2006,Euro,151.2150806
Jan-2007,Euro,150.8744038
Feb-2007,Euro,147.865092
Mar-2007,Euro,149.5911878
Apr-2007,Euro,151.8737225
May-2007,Euro,154.4401544
Jun-2007,Euro,152.6232114
Jul-2007,Euro,154.7467636
Aug-2007,Euro,155.3713377
Sep-2007,Euro,154.9057461
Oct-2007,Euro,161.5830116
Nov-2007,Euro,163.9223257
Dec-2007,Euro,166.4433341
Jan-2008,Euro,167.3631615
Feb-2008,Euro,168.6463775
Mar-2008,Euro,172.5528049
Apr-2008,Euro,177.3222803
May-2008,Euro,175.539405
Jun-2008,Euro,176.5841472
Jul-2008,Euro,179.1732909
Aug-2008,Euro,176.7771974
Sep-2008,Euro,164.9102884
Oct-2008,Euro,159.6411538
Nov-2008,Euro,144.4356121
Dec-2008,Euro,143.4703611
Jan-2009,Euro,152.6799909
Feb-2009,Euro,145.4462866
Mar-2009,Euro,142.8571429
Apr-2009,Euro,150.1589825
May-2009,Euro,150.6586418
Jun-2009,Euro,161.1628435
Jul-2009,Euro,161.0947082
Aug-2009,Euro,163.7065637
Sep-2009,Euro,161.6511469
Oct-2009,Euro,165.0238474
Nov-2009,Euro,166.45469
Dec-2009,Euro,171.473995
Jan-2010,Euro,163.7406314
Feb-2010,Euro,157.8923461
Mar-2010,Euro,153.4862594
Apr-2010,Euro,154.0881217
May-2010,Euro,149.7047468
Jun-2010,Euro,139.2913922
Jul-2010,Euro,141.5398592
Aug-2010,Euro,149.6025437
Sep-2010,Euro,145.5030661
Oct-2010,Euro,156.1889621
Nov-2010,Euro,157.7106518
Dec-2010,Euro,149.3186464
Jan-2011,Euro,151.8396548
Feb-2011,Euro,156.6318419
Mar-2011,Euro,156.8589598
Apr-2011,Euro,161.4240291
May-2011,Euro,168.8621395
Jun-2011,Euro,163.8769021
Jul-2011,Euro,164.7513059
Aug-2011,Euro,161.2764025
Sep-2011,Euro,162.1962298
Oct-2011,Euro,150.8176243
Nov-2011,Euro,155.3032024
Dec-2011,Euro,153.1569385
Jan-2012,Euro,148.3193277
Feb-2012,Euro,149.6593232
Mar-2012,Euro,151.2605042
Apr-2012,Euro,151.3172837
May-2012,Euro,150.1930502
Jun-2012,Euro,141.0401999
Jul-2012,Euro,142.9025664
Aug-2012,Euro,139.6661367
Sep-2012,Euro,142.6981603
Oct-2012,Euro,146.4910288
Nov-2012,Euro,146.9111969
Dec-2012,Euro,148.3761072
Jan-2013,Euro,149.8410175
Feb-2013,Euro,155.4848967
Mar-2013,Euro,147.4903475
Apr-2013,Euro,146.0027254
May-2013,Euro,149.8069498
Jun-2013,Euro,148.7394958
Jul-2013,Euro,148.3079718
Aug-2013,Euro,150.0908471
Sep-2013,Euro,149.4889848
Oct-2013,Euro,153.6906655
Nov-2013,Euro,153.1682943
Dec-2013,Euro,153.8950715
Jan-2014,Euro,155.235067
Feb-2014,Euro,153.5657506
Mar-2014,Euro,156.2911651
Apr-2014,Euro,156.7567568
May-2014,Euro,157.4721781
Jun-2014,Euro,154.5082898
Jul-2014,Euro,155.3599818
Aug-2014,Euro,152.5777879
Sep-2014,Euro,149.034749
Oct-2014,Euro,143.2886668
Nov-2014,Euro,141.8010447
Dec-2014,Euro,141.8351124
Jan-2015,Euro,136.4410629
Feb-2015,Euro,128.741767
Mar-2015,Euro,127.0724506
Apr-2015,Euro,122.2802635
May-2015,Euro,127.1178742
Jun-2015,Euro,123.926868
Jul-2015,Euro,125.8687259
Aug-2015,Euro,124.4833068
Sep-2015,Euro,127.9014308
Oct-2015,Euro,127.1860095
Nov-2015,Euro,125.210084
Dec-2015,Euro,120.5995912
Jan-2016,Euro,122.6777197
Feb-2016,Euro,123.6429707
Mar-2016,Euro,123.1773791
Apr-2016,Euro,129.2868499
May-2016,Euro,130.774472
Jun-2016,Euro,126.7885533
Jul-2016,Euro,126.5614354
Aug-2016,Euro,126.9134681
Sep-2016,Euro,127.1178742
Oct-2016,Euro,127.2995685
Nov-2016,Euro,125.3917783
Dec-2016,Euro,120.7585737
Jan-2017,Euro,118.2829889
Feb-2017,Euro,122.1667045
Mar-2017,Euro,119.9636611
Apr-2017,Euro,120.9970475
May-2017,Euro,123.9155122
Jun-2017,Euro,127.3449921
Jul-2017,Euro,129.0824438
Aug-2017,Euro,133.9881899
Sep-2017,Euro,134.8853055
Oct-2017,Euro,133.3749716
Nov-2017,Euro,131.9327731
Dec-2017,Euro,135.2486941
Jan-2018,Euro,136.8385192
Feb-2018,Euro,141.7442653
Mar-2018,Euro,138.7235975
Apr-2018,Euro,139.5412219
May-2018,Euro,136.2707245
Jun-2018,Euro,132.6254826
Jul-2018,Euro,131.7737906
Aug-2018,Euro,132.477856
Sep-2018,Euro,131.3422666
Oct-2018,Euro,131.3536225
Nov-2018,Euro,129.4117647
Dec-2018,Euro,128.957529
Jan-2019,Euro,128.9688849
Feb-2019,Euro,130.2975244
Mar-2019,Euro,129.1846468
Apr-2019,Euro,127.2995685
May-2019,Euro,127.7083806
Jun-2019,Euro,127.2541449
Jul-2019,Euro,128.4010902
Aug-2019,Euro,125.6188962
Sep-2019,Euro,124.5514422
Oct-2019,Euro,124.14263
Nov-2019,Euro,126.8339768
Dec-2019,Euro,125.7665228
Jan-2020,Euro,126.7999092
Feb-2020,Euro,125.6188962
Mar-2020,Euro,126.7771974
Apr-2020,Euro,124.1653418
May-2020,Euro,124.892119
Jun-2020,Euro,126.3116057
Jul-2020,Euro,127.8560073
Aug-2020,Euro,133.4317511
Sep-2020,Euro,135.6915739
Oct-2020,Euro,133.4544629
Nov-2020,Euro,132.1144674
Dec-2020,Euro,136.7136044
Jan-2021,Euro,139.1551215
Feb-2021,Euro,137.0656371
Mar-2021,Euro,136.8839428
Apr-2021,Euro,133.6815807
May-2021,Euro,136.9407222
Jun-2021,Euro,139.0074949
Jul-2021,Euro,134.6468317
Aug-2021,Euro,134.828526
Oct-2000,Yuan,100
Nov-2000,Yuan,97.4789916
Dec-2000,Yuan,99.53440836
Jan-2001,Yuan,100.0132884
Feb-2001,Yuan,106.5637066
Mar-2001,Yuan,105.5076084
Apr-2001,Yuan,100.0169131
May-2001,Yuan,101.4876221
Jun-2001,Yuan,95.98001363
Jul-2001,Yuan,100.0241633
Aug-2001,Yuan,99.85237338
Sep-2001,Yuan,100.0265803
Oct-2001,Yuan,104.0086305
Nov-2001,Yuan,102.7027027
Dec-2001,Yuan,100.0241633
Jan-2002,Yuan,100.0289974
Feb-2002,Yuan,97.80831251
Mar-2002,Yuan,98.25119237
Apr-2002,Yuan,100
May-2002,Yuan,102.9071088
Jun-2002,Yuan,100.0277889
Jul-2002,Yuan,112.3438565
Aug-2002,Yuan,111.7760618
Sep-2002,Yuan,100.0241633
Oct-2002,Yuan,111.9577561
Nov-2002,Yuan,113.2296162
Dec-2002,Yuan,100.0205381
Jan-2003,Yuan,99.98792271
Feb-2003,Yuan,100.0265803
Mar-2003,Yuan,100.0181214
Apr-2003,Yuan,123.824665
May-2003,Yuan,127.6175335
Jun-2003,Yuan,100.0265803
Jul-2003,Yuan,131.5012491
Aug-2003,Yuan,127.776516
Sep-2003,Yuan,100.0229549
Oct-2003,Yuan,132.9548035
Nov-2003,Yuan,100.0289974
Dec-2003,Yuan,135.7710652
Jan-2004,Yuan,100.0253718
Feb-2004,Yuan,100.0241633
Mar-2004,Yuan,141.1651147
Apr-2004,Yuan,140.3361345
May-2004,Yuan,100.0229549
Jun-2004,Yuan,138.6554622
Jul-2004,Yuan,138.0649557
Aug-2004,Yuan,100.0241633
Sep-2004,Yuan,138.3034295
Oct-2004,Yuan,140.813082
Nov-2004,Yuan,144.6854417
Dec-2004,Yuan,151.1242335
Jan-2005,Yuan,100.030206
