Date,V,TM,PG,PCRFY,INTC,KO,BRDCY,ABNB
07/12/2020,211.3517303,138.1499939,134.3020172,10.98999977,48.93123245,51.3704834,17.73999977,
08/12/2020,211.470993,138.7400055,134.6629486,11.02999973,49.40884018,51.55467606,17.68000031,
09/12/2020,208.3004608,140.8800049,133.0631714,11.31000042,48.80451584,51.70009613,17.65999985,
10/12/2020,206.3424988,143.0700073,132.185257,11.28999996,48.98971176,51.4286499,17.70000076,144.7100067
11/12/2020,204.9808655,151,133.1607056,11.22999954,48.4731102,51.71948242,17.59000015,139.25
14/12/2020,205.9846954,153.5800018,132.516922,11.26000023,49.1944046,51.64192963,17.55999947,130
15/12/2020,207.0879364,152.8500061,133.2972717,11.43999958,49.38934326,52.19450378,17.39999962,124.8000031
16/12/2020,206.9984741,155.0899963,133.9020844,11.59000015,49.82797623,51.43834686,17.04999924,137.9900055
17/12/2020,209.8907013,154.6399994,134.8580322,11.52999973,49.3698616,51.64192963,17.04999924,147.0500031
18/12/2020,210.0199127,153.7700043,135.6286469,11.61999989,46.26048279,52.0975647,16.64999962,157.3000031
21/12/2020,207.7339478,151.7700043,134.1459351,11.48999977,45.18828583,51.1959877,16.5,163.0200043
22/12/2020,204.5832977,150.7700043,133.1997528,11.43999958,45.00308609,51.14751434,16.75,163.1900024
23/12/2020,204.0466003,151.1600037,132.9949036,11.39000034,45.39297867,51.45773697,16.51000023,158.0099945
24/12/2020,207.4258423,150.4700012,134.3410339,11.39000034,45.88033676,51.80672455,16.34000015,154.8399963
28/12/2020,211.3318634,152.6000061,135.2774811,11.55000019,45.88033676,52.50472641,16.30999947,149
29/12/2020,213.0612183,153.3399963,135.0238647,11.56999969,48.14170074,52.47564316,16.45000076,150
30/12/2020,217.0268707,154.0899963,134.3898163,11.68999958,47.51787567,52.77616882,16.30999947,148.4299927
31/12/2020,217.3945923,154.5700073,135.7261963,11.71000004,48.56083298,53.16394424,16.39999962,146.8000031
04/01/2021,216.4305267,153.2899933,134.4385834,11.72000027,48.41461945,51.14751434,16.22999954,139.1499939
05/01/2021,213.2003632,153.3999939,135.2969971,12.25,49.33086777,50.58524323,16.30999947,148.3000031
06/01/2021,211.3219147,153.5299988,136.7211761,12.30000019,49.80847931,48.97597122,16.47999954,142.7700043
07/01/2021,212.5046539,152.6699982,135.4433136,12.55000019,50.87092972,48.4330864,16.68000031,151.2700043
08/01/2021,214.1346436,152.8500061,135.3847656,12.60999966,50.3445816,49.51886368,17.48999977,149.7700043
11/01/2021,211.590271,153.3899994,134.467865,12.52000046,50.23736191,48.66575623,17.36000061,148.1300049
12/01/2021,207.5848694,151.75,133.6874695,12.55000019,51.89439774,48.57850266,17.5,160.8000031
13/01/2021,208.0718842,150.6499939,133.8923035,12.59000015,55.51062775,48.62697983,17.79999924,169.9900055
14/01/2021,200.6276093,151.3399963,132.4681396,12.52999973,57.75249481,47.72540283,18.78000069,180.5
15/01/2021,200.3592377,148.4100037,131.473175,12.34000015,56.12470627,47.21159744,18.89999962,169.2700043
19/01/2021,200.428833,148.1300049,130.3221436,12.72999954,56.52434158,47.02740479,19.47999954,173.6900024
20/01/2021,204.752243,149.9799957,128.6931,13.14999962,57.18715286,47.19220734,19.80999947,161.8300018
21/01/2021,203.8875732,151.3399963,128.5664978,13.76000023,60.88136673,47.45395279,19.68000031,180.3999939
22/01/2021,200.7866516,147.9499969,127.5753403,14.10000038,55.22795486,47.00801849,19.73999977,181.8699951
